#,FANLI_S08V2,1,2021.12.06 09.13.34 CST,V1.0,,,,,,,,,,
Block,LevelBlock,VIHLR_VOHLR_IOHLR,,,,,,,,,,,,
#,Signal,VIL,VIH,VOL,VOH,Vicm,Vid,Term,Vt,IOL,IOH,VCL,VCH,VHH
Level,BOOST_LX_D,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,IC0_TEST,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,IC1_TEST,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_CLK_REQ,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_DEV_WKUP_HOST,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_GPIO0,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_GPIO1,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_GPIO4,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_HOST_WKUP_DEV,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_IC_ADDR0,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_IC_ADDR1,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_IC_SCL,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_IC_SDA,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_SIM_SWIO1,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_SIM_SWIO2,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_SIM_SWIO3,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,NFC_XTAL1,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,PMU_PWRON,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,RXN_D,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,RXP_D,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,SE_POW_ON,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,SE_UART_RXD,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,SE_UART_TXD,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,SE_WKUP_DEV,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,SIM_IO_PDN_2,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,TX1,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,TX2,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,TXVCASC,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,TXVCM,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,VDD_PMU_SIMLDO,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,VDD_XLDO,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,VDDA,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,VMID,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,FE*_HF_AWG_*_SYNC,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,FE*_HF_DIG_*_SYNC,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,U*002,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
Level,U3,0V,1.8V,0.63V,1.17V,0V,0V,Load,0.9V,2mA,2mA,-1.0V,2.0V,FALSE
